id,testName,testTitle,testDescription,shouldComplete,expectedCount,tags,enabled
WF-001,CreateGuarantorAccountNote_UI_VerifyAPI,Verify user can create a Guarantor Account Note in Collections UI and validate it through API response,This test verifies that a user is able to create a new guarantor account note from the Collections module UI.,1,1,smoke| high-level | regression,1
API-001,CreateGuarantorAccountNote_API,Create a new guarantor account note via API and validate the response,This test verifies that a new guarantor account note can be created via POST API and the response contains the correct accountNote value.,1,1,smoke| high-level | regression,1
API-002,VerifyCreatedGuarantorNote_API,Verify the created note exists via GET call,This test verifies that the previously created guarantor account note is retrievable via GET API and the accountNote value matches.,1,1,smoke| high-level | regression,1
API-003,UpdateGuarantorAccountNote_API,Update the guarantor account note via PUT call,This test verifies that an existing guarantor account note can be updated via PUT API and the response contains the updated accountNote value.,1,1,smoke| high-level | regression,1
API-004,VerifyUpdatedGuarantorNote_API,Verify the updated note exists via GET call,This test verifies that the updated guarantor account note is retrievable via GET API and the accountNote value reflects the update.,1,1,smoke| high-level | regression,1
UI-001,LoginPageLoadsWithAllFormElements,Login page loads with all form elements,"Verifies Keycloak login page renders heading, username, password fields and Sign In button, then validates successful login with valid credentials.",1,1,smoke| high-level | regression,1
UI-002,LoginFailsWithInvalidCredentials,Login fails with invalid credentials,Verifies login fails with invalid credentials and error message is shown on the login page.,1,1,smoke| high-level | regression,1
