id,workflow,journey,category,testName,testTitle,testDescription,segments,modules,tags,req,demo,jira,status,enabled
UI-001,,,ui,loginWithValidCredentials,Login succeeds with valid credentials,Verify a valid user logs in and reaches the authenticated shell — the search menu and welcome message are visible.,,,smoke|high-level|regression,UI-R1,0,,automated,1
UI-002,,,ui,loginWithInvalidPassword,Login fails with an invalid password,"Verify login is rejected when the username is valid but the password is wrong, and the invalid-credentials error is shown.",,,regression,UI-R2|UI-R3,0,,automated,1
UI-003,,,ui,loginWithInvalidUsername,Login fails with an invalid username,"Verify login is rejected when the username is invalid, and the invalid-credentials error is shown.",,,regression,UI-R2|UI-R3,0,,automated,1
UI-004,,,ui,loginWithInvalidUsernameAndPassword,Login fails with invalid username and password,"Verify login is rejected when both the username and password are invalid, and the invalid-credentials error is shown.",,,regression,UI-R2|UI-R3,0,,automated,1
